DESIGNATION,Female,Male
IR13L340,THADOKKHAM1,IR08L119
IR12L393,IRRI174,IR77298-14-1-2-10
IR13L338,THADOKKHAM1,IR08L119
IR12L321,IR04A212,IR08L119
IR10L139,IR70181-3-PMI1-UBN1-B-1-1,IRRI163
IR09L324,IR71700-247-1-1-2,IR77080-B-34-1-1
IR77298-14-1-2-10,IR64,ADAYSEL
IR13N157,IR09N531,IRRI154
IRRI162,IRRI143,CT6510-24-1-2
IR93339:29-B-7-7-B-B-B-16,IR77298-14-1-2-10_SANHUANGZHANNO2__IR45427-2B-2-2B-1-1_NSICRC158,IRRI123_IR4630-22-2-5-1-3__FEDEARROZ50_IR07F287
IR14V1020,IR77298-14-1-2-10_SANHUANGZHANNO2__IR45427-2B-2-2B-1-1_NSICRC158,IRRI123_IR4630-22-2-5-1-3__FEDEARROZ50_IR07F287
IR14N153,IR04N155_IR09N534,IR02W101
IR14A150,IR03A550,IRRI154
IR14A185,IRBB66,IR03A550
IR14A216,MTU1115_IR65482-4-136-2-2-B,IR09A131
IR14F690,IRRI154,IRRI149
IR14F697,IRRI154,IRRI149
IR14F703,IRRI154,IRRI149
IR14F707,IRRI154,IRRI149
IR14F711,IRRI154,IRRI149
IR14F713,IRRI154,IRRI149
IR14F717,IRRI154,IRRI149
IR13N115,IR01A111_MTU1010,NSICRC158
IR110615-C1-B-B-B-1-1,IR85483-68RIL-1-1-1,IRRI150
IR13L495,IR91659:54-35,IR81896-B-B-195_2*IR05F102
IR13A515,IRRI151,IR00A117
IR12A173,IR03A550,MTU1010
IR12A229,IR06M146,IR72102-4-159-1-3-3-3(NSICRC112)
IR12A282,IR03A550,TEQING
IR12N165,FEDEARROZ50,IR07F289
IR13A153,IR06M146_IR72102-4-159-1-3-3-3(NSICRC112),OM4498
IR13N104,IR09N530,IR04A428
IR13N143,IR10N104,IR08N158
IR12M112,IR75862-206-2-8-3-B-B-B_IRRI123,IRRI154
IR13A505,IR10N103,IRRI150
IR13A528,IR04A428,BR29
IR13N152,IR83704-31-3-3-2,IR09N529
IR11A341,IR05A125,CIHERANG
IR12A329,IRRI154,BR29
IR12N231,IR02N211,TEQING
IR12N234,IR02N211,TEQING
IR12N240,IR05N160,TEQING
IR12N249,IR05N204_IR01W102,IRRI145
IR13A107,OM4900,IR04A428
IR13N102,IR83317-50-1-2-2,IR71700-247-1-1-2
IR13N131,CIHERANG,IR08N158
IR06L141,IR70181-26-PMI2-9-1-1,PSBRC18(IR51672-62-2-1-1-2-3)
IR11L185,DHAGADDESHI,IR04A429
IRRI218,IR70181-26-PMI2-9-1-1,PSBRC18(IR51672-62-2-1-1-2-3)
IR15M1289,IR91145-AC26_IRRI123__OM4498,IR58_4_IR69428-6-1-1-3-3_IR69807-13-2-1__IR58
SALTTOLSINTHWELATT,0,0
IR91648-B-289-B,MOROBEREKAN,SWARNA
IR14L594,SANHUANGZHANNO2_IR4630-22-2-5-1-3__FEDEARROZ50_NSICRC158,IRRI123_IR45427-2B-2-2B-1-1__IR77298-14-1-2-10_IR07F287
IR13L378,IR08L217,IR08L183
IR14D201,IR10F188,KHO470-3
PR42071-14-2-2-2,0,0
IR14D179,IR10F188,KHO487-4
IR14D196,IR10F214,KHO456-6
IR14D198,IR10F188,KHO470-3
IR14D199,IR10F188,KHO470-3
IR14D200,IR09F437_IR06F168,KHAO487-4
IR14D202,IR10F188,KHO470-3
PR37464-31-3-2-2-2-3-1-B-5-1-1,0,0
PR37541-43-3-2-2-2-1-2-3-B-3-1-1,IR71606-2-1-1-1-3-3-1-2,C6634WH1-1-1-1-1-3
PR44420-36-4-3,0,0
IR93346:1-B-13-7-6-1RGA-2RGA-1-B,FEDEARROZ50_SANHUANGZHANNO2__IRRI123_NSICRC158,IR77298-14-1-2-10_IR4630-22-2-5-1-3__IR45427-2B-2-2B-1-1_IR07F287
IRRI185,IR84674,IR82855
IR12L152,IRRI174,IR77298-14-1-2-10
IR11L327,IR77298-5-6-18,IR05N343
IR12L251,IR55419-04,MTU1010
IR12L159,IRRI174,IR77298-14-1-2-10
IR12L248,IR77298-5-6-18,MTU1010
IR12L201,IR55419-04,MTU1010
IR12L225,IR77298-14-1-2-10,MTU1010
IR11L236,IR06L164,IR81454-B-B-172
IR15A1479,IRBB64,IR03A477
IR15A1103,IRBB62,IR73012-137-2-2-2
IR15A1410,IRBB62,IR73012-137-2-2-2
IR12L326,IR06N170,IR83614-1007-B-B
IR11L435,IRRI123,IR06N102
IR14D145,IR10F188,KHO487-4
IR12L314,IR85785-151-1,SWARNA
IR14D134,IR10F188,KHO487-4
KHAODAWKMALI105,0,0
SAFRI17,0,0
IR03L319,IR57514-PMI5-B-1-2_IRRI119,IR43524-55-1-3-2
OM4900,C53_JASMINE85,JASMINE85
IR54447-3B-10-2,BKNFR76106-16-0-1_IR9764-45-2-2,IR50404_NONABOKRA
IR98785-10-1-1-3,IRRI176,IR11L184
IR15L1008,IRRI176,IR11L186
IR15L1009,IRRI176,IR11L186
IR98788-3-1-1-1,IRRI176,IR11L261
IR98816-10-2-2-2,IR11L108,IR08N121
IR98816-10-2-2-3,IR11L108,IR08N121
IR98816-14-2-4-3,IR11L108,IR08N121
IR98820-15-1-2-3,IR11L108,IR09N534
IR98824-5-2-1-2,IR11L108,SAMBHAMAHSURI
IR98841-2-1-1-3,IR11L186,IR04N114
IR98843-11-1-2-3,IR11L186,IR08N121
IR98846-2-1-2-3,IR11L186,IR09N534
IR98846-2-1-4-3,IR11L186,IR09N534
IR98851-18-1-2-3,IR11L269,IR04N106
IR98853-6-1-3-2,IR11L269,IR05N229
IR98854-14-1-3-2,IR11L269,IR08N121
IR98855-5-1-2-3,IR11L269,IR09A228
IR98855-7-1-1-1,IR11L269,IR09A228
IR98856-6-1-1-1,IR11L269,IR07A253
IR98856-6-1-2-2,IR11L269,IR07A253
IR98879-9-1-3-2,IR11L147,IR04N114
IR98888-5-1-2-2,IR11L147,MR219
IR98925-11-1-2-1,IR10L411,IR11L259
IR98938-11-1-3-2,IRRI177,IR11L147
IR98939-14-1-2-1,IRRI177,MTU1010
IR98939-14-1-2-3,IRRI177,MTU1010
IR98961-8-1-1-3,IR11L261,IR07A260
IR98976-20-1-2-1,IR11L152,SABITRI
IR98976-20-1-2-2,IR11L152,SABITRI
IR99732:1-17-1-1-3,IR64,IR87728-59-B-B
IR99739:2-1-1-2-1,IRRI149,IR86918-B-305
IR99739:2-1-1-2-3,IRRI149,IR86918-B-305
IR11L101,IR55419-4,WAYRAREM
IR14T157,IR90180,IR90192
IR14T136,IR03W134,OM4498
IR14T154,IR10F616,IR03W134
IR100701-AJY24-AJY1-CMU1,IR10F388,IR03W134
IR14T155,IR10F548,IR55179-3B-11-3
IR100632-37-AJY3-CMU1,IR04A115,IR11T193
IR14T156,IR06A144,IR11T193
IR92831-22-BAY2-1-CMU1,CSR28,A69-1
IR04A305,IR62243-41-1-3-3_IR64680-81-2-2-1-3,IR73885-1-4-3-2-1-6
IR66696-49-1-2,PUSA615-140-10-1,IR59645-146-2-6-2
IR68098-B-78-2-2-B-1,IR61042-32-2-1-2,IR60267-PMI-3-1-3-1
IR70213-10-CPA4-2-3-2,IR57519-PMI5-B-2-2_IR52555-UBN3-2-1,IR43524-55-1-3-2
IR71140-80-6-3-3-3,IR44699-21-1-3-4,IR66452-179-2-6-1-4
IR72176-140-1-2-2-3,IR68312-20-4-2-1-1,IR66159-131-4-3-2
IR72894-35-2-2-2,IR61961-159-2-3-3-2-2,IR68056-115-3-2
IR73013-95-1-3-2,IR68064-18-1-1-2-2,IR65459-73-1-2-2-3-2
IR75416-R-R-R-R-152-2,SBIR67471-M-8-1-1-1-1,RAJASHREE
IR75416-R-R-R-R-152-4,SBIR67471-M-8-1-1-1-1,RAJASHREE
IR75416-R-R-R-R-156-2,SBIR67471-M-8-1-1-1-1,RAJASHREE
IR75416-R-R-R-R-156-3,SBIR67471-M-8-1-1-1-1,RAJASHREE
IR75416-R-R-R-R-17-3,SBIR67471-M-8-1-1-1-1,RAJASHREE
IR75416-R-R-R-R-220-4,SBIR67471-M-8-1-1-1-1,RAJASHREE
IR75416-R-R-R-R-52-1,SBIR67471-M-8-1-1-1-1,RAJASHREE
IR75416-R-R-R-R-56-4,SBIR67471-M-8-1-1-1-1,RAJASHREE
IR75416-R-R-R-R-68-3,SBIR67471-M-8-1-1-1-1,RAJASHREE
IR75417-R-R-R-R-246-1,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR75417-R-R-R-R-246-4,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR75417-R-R-R-R-252-1,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR75417-R-R-R-R-315-4,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR75417-R-R-R-R-316-1,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR04L770,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR75417-R-R-R-R-325-4,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR75417-R-R-R-R-326-1,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR75417-R-R-R-R-339-3,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR75417-R-R-R-R-457-2,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR75417-R-R-R-R-457-3,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR04L720,IR55423-01(NSICRC9),IR72
IR04L739,UPLRI5,IR68450-36-3-2-2-3
IR05N134,IR71700-247-1-1-2,IR73013-95-1-3-2
IR05N142,IR71701-28-1-4,IR73013-107-3-1-2
IR05N182,IR72905-49-3-2-2,IR72158-16-3-3-1
IR06L731,IR72875-94-3-3-2,IR74371-3-1-1
IR06L732,IR72875-94-3-3-2,IR74371-3-1-1
IR06L733,IRRI143,IR55423-01(NSICRC9)
IR06L734,IRRI143,IR55423-01(NSICRC9)
IR06L735,IRRI143,IR55423-01(NSICRC9)
IR06L736,IRRI143,IR55423-01(NSICRC9)
IR06L737,IRRI143,IR55423-01(NSICRC9)
IR06L738,IRRI143,IR55423-01(NSICRC9)
IR06L740,IRRI143,CT6510-24-1-2
IR06L743,IRRI143,IR74371-3-1-1
IR06L744,IRRI143,IR74371-3-1-1
IR06L745,IRRI143,IR74371-3-1-1
IR06L748,IRRI143,IR74371-70-1-1
IR06L749,IRRI143,IR74371-70-1-1
IR06L750,IRRI143,UPLRI7
IR06L752,IRRI143,UPLRI7
IR06L753,IRRI143,UPLRI7
IR06L754,IRRI143,UPLRI7
IR06L755,IRRI143,UPLRI7
IR06L756,IRRI143,UPLRI7
IR06L757,IRRI143,UPLRI7
IR06L758,IRRI143,UPLRI7
IR06L759,IRRI143,UPLRI7
IR06L760,IR74590-67-1-1-3-1,CT6510-24-1-2
IR06L761,IR74590-67-1-1-3-1,CT6510-24-1-2
IR06L762,IR01A102,CT6510-24-1-2
IR06L763,IR01A102,CT6510-24-1-2
IR06L765,IR01A102,CT6510-24-1-2
IR06L767,IR01A102,CT6510-24-1-2
IR06L768,IR01A102,CT6510-24-1-2
IR06L772,IR01A102,CT6510-24-1-2
IR06L773,IR01A102,CT6510-24-1-2
IR07L310,IR70213-9-CPA12-UBN2-1-3-1_IR71700-247-1-1-2,KHAODAWKMALI105
IR07L295,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR07L317,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR07L321,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR07L322,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR07L314,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR07L301,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR07L323,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR07L303,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR07L300,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR07L313,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR07L293,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR07L309,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
