S.No.,Year,Season,Treatment,Design,Study_Name,Plot_No,Rep,Entry_No,Block,Entry-Check,YKGH,Row,Col
19564,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,116,2,296,2,Check,4574.027226,2,35
19565,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,201,3,296,3,Check,5270.457614,3,39
19566,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,284,4,296,4,Check,3524.939938,4,41
19639,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,18,1,56,1,Check,659.4890511,2,9
19640,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,43,2,56,2,Check,950.3875969,1,22
19890,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,53,1,236,1,Check,467.3153456,1,53
19891,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,106,2,236,2,Check,555,2,18
19892,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,213,3,236,3,Check,608.893532,3,37
6888,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,91,1,96,10,Entry,5177.7,,
6889,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,267,2,96,10,Entry,4664.5,,
6890,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,397,3,96,10,Entry,4597.2,,
7368,2009,DS,Stress,Alpha-Lattice,L09DS-12,74,1,96,10,Entry,154.45,,
7369,2009,DS,Stress,Alpha-Lattice,L09DS-12,227,2,96,10,Entry,249.17,,
7370,2009,DS,Stress,Alpha-Lattice,L09DS-12,403,3,96,10,Entry,206.83,,
7887,2009,WS,Non-Stress,Alpha-Lattice,L09WS-16,72,1,85,8,Entry,4577.15,,
7888,2009,WS,Non-Stress,Alpha-Lattice,L09WS-16,170,2,85,5,Entry,4560.37,,
7889,2009,WS,Non-Stress,Alpha-Lattice,L09WS-16,294,3,85,6,Entry,4520.17,,
8247,2009,WS,Stress,Alpha-Lattice,L09WS-17,2,1,85,1,Entry,3392,,
8248,2009,WS,Stress,Alpha-Lattice,L09WS-17,178,2,85,6,Entry,3728,,
8249,2009,WS,Stress,Alpha-Lattice,L09WS-17,342,3,85,11,Entry,2908,,
9234,2010,DS,Non-Stress,Alpha-Lattice,L10DS-18,34,1,24,4,Entry,4705.3,,
9235,2010,DS,Non-Stress,Alpha-Lattice,L10DS-18,59,2,24,2,Entry,4380.3,,
9236,2010,DS,Non-Stress,Alpha-Lattice,L10DS-18,97,3,24,2,Entry,5891.7,,
9354,2010,DS,Stress,Alpha-Lattice,L10DS-19,23,1,24,3,Entry,1248.1,,
9355,2010,DS,Stress,Alpha-Lattice,L10DS-19,78,2,24,4,Entry,1205.8,,
9356,2010,DS,Stress,Alpha-Lattice,L10DS-19,108,3,24,3,Entry,893.7,,
228,2003,WS,Stress,Alpha-lattice,LWS03-01,33,1,2,4,Entry,1777,,
229,2003,WS,Stress,Alpha-lattice,LWS03-01,54,2,2,1,Entry,2877,,
230,2003,WS,Stress,Alpha-lattice,LWS03-01,105,3,2,1,Entry,2119.3,,
1095,2006,DS,Stress,Alpha-lattice,L06DS-14,88,1,3,9,Entry,340.48,,
1096,2006,DS,Stress,Alpha-lattice,L06DS-14,133,2,3,3,Entry,389.88,,
1097,2006,DS,Stress,Alpha-lattice,L06DS-14,241,3,3,3,Entry,920.18,,
1422,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,4,1,2,1,Entry,2094.54,,
1423,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,129,2,2,7,Entry,1552.1,,
1424,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,202,3,2,6,Entry,1773.68,,
1935,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,83,1,3,9,Entry,2764.2,,
1936,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,119,2,3,1,Entry,3562.84,,
1937,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,284,3,3,7,Entry,2558.73,,
2532,2006,WS,Stress,Alpha-Lattice,L06WS-15,42,1,2,6,Entry,863.1,,
2533,2006,WS,Stress,Alpha-Lattice,L06WS-15,86,2,2,1,Entry,508.69,,
2534,2006,WS,Stress,Alpha-Lattice,L06WS-15,224,3,2,8,Entry,1177.95,,
4242,2007,DS,Non-Stress,Alpha-Lattice,L07DS-24,37,1,2,5,Entry,4821.12,,
4243,2007,DS,Non-Stress,Alpha-Lattice,L07DS-24,175,3,2,6,Entry,4311.27,,
4244,2007,DS,Non-Stress,Alpha-Lattice,L07DS-24,114,2,2,7,Entry,3677.57,,
4650,2007,DS,Stress,Alpha-Lattice,L07DS-27,52,1,2,7,Entry,872.5,,
4651,2007,DS,Stress,Alpha-Lattice,L07DS-27,66,2,2,1,Entry,1068.88,,
4652,2007,DS,Stress,Alpha-Lattice,L07DS-27,191,3,2,8,Entry,545.67,,
1092,2006,DS,Stress,Alpha-lattice,L06DS-14,79,1,2,8,Entry,259.7,,
1093,2006,DS,Stress,Alpha-lattice,L06DS-14,155,2,2,5,Entry,407.62,,
1094,2006,DS,Stress,Alpha-lattice,L06DS-14,235,3,2,2,Entry,724.2,,
1338,2006,DS,Stress,Alpha-lattice,L06DS-14,62,1,84,7,Entry,929.05,,
1339,2006,DS,Stress,Alpha-lattice,L06DS-14,132,2,84,3,Entry,728.65,,
1340,2006,DS,Stress,Alpha-lattice,L06DS-14,273,3,84,6,Entry,821.52,,
1560,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,25,1,48,4,Entry,2413.62,,
1561,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,114,2,48,5,Entry,2043.49,,
1562,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,182,3,48,3,Entry,1861.12,,
1932,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,9,1,2,1,Entry,2701.58,,
1933,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,175,2,2,7,Entry,1593.26,,
1934,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,236,3,2,2,Entry,2524.65,,
2178,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,36,1,84,4,Entry,3503.3,,
2179,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,128,2,84,2,Entry,3567.8,,
2180,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,328,3,84,11,Entry,4809.46,,
2670,2006,WS,Stress,Alpha-Lattice,L06WS-15,39,1,48,5,Entry,735.5,,
2671,2006,WS,Stress,Alpha-Lattice,L06WS-15,159,2,48,10,Entry,982.77,,
2672,2006,WS,Stress,Alpha-Lattice,L06WS-15,180,3,48,3,Entry,167.92,,
1098,2006,DS,Stress,Alpha-lattice,L06DS-14,58,1,4,6,Entry,412.82,,
1099,2006,DS,Stress,Alpha-lattice,L06DS-14,161,2,4,6,Entry,313.92,,
1100,2006,DS,Stress,Alpha-lattice,L06DS-14,287,3,4,7,Entry,254.34,,
1938,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,63,1,4,7,Entry,1281.47,,
1939,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,133,2,4,3,Entry,1651.79,,
1940,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,286,3,4,7,Entry,843.6,,
1101,2006,DS,Stress,Alpha-lattice,L06DS-14,14,1,5,2,Entry,657.65,,
1102,2006,DS,Stress,Alpha-lattice,L06DS-14,118,2,5,1,Entry,190.19,,
1103,2006,DS,Stress,Alpha-lattice,L06DS-14,221,3,5,1,Entry,554.25,,
1941,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,67,1,5,7,Entry,1231.42,,
1942,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,167,2,5,6,Entry,933.08,,
1943,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,274,3,5,6,Entry,1447.8,,
1104,2006,DS,Stress,Alpha-lattice,L06DS-14,90,1,6,9,Entry,310.93,,
1105,2006,DS,Stress,Alpha-lattice,L06DS-14,219,2,6,11,Entry,108.76,,
1106,2006,DS,Stress,Alpha-lattice,L06DS-14,286,3,6,7,Entry,395.82,,
1944,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,86,1,6,9,Entry,1930.37,,
1945,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,199,2,6,9,Entry,2579.18,,
1946,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,318,3,6,10,Entry,2500.16,,
1107,2006,DS,Stress,Alpha-lattice,L06DS-14,106,1,7,11,Entry,79.51,,
1108,2006,DS,Stress,Alpha-lattice,L06DS-14,204,2,7,10,Entry,302.79,,
1109,2006,DS,Stress,Alpha-lattice,L06DS-14,327,3,7,11,Entry,172.53,,
1947,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,23,1,7,3,Entry,1614.81,,
1948,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,116,2,7,1,Entry,1181.32,,
1949,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,276,3,7,6,Entry,1025.39,,
1110,2006,DS,Stress,Alpha-lattice,L06DS-14,55,1,8,6,Entry,237.85,,
1111,2006,DS,Stress,Alpha-lattice,L06DS-14,181,2,8,8,Entry,82.55,,
1112,2006,DS,Stress,Alpha-lattice,L06DS-14,237,3,8,2,Entry,673.96,,
1950,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,4,1,8,1,Entry,1529.84,,
1951,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,148,2,8,4,Entry,1701.83,,
1952,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,278,3,8,6,Entry,1601.31,,
1113,2006,DS,Stress,Alpha-lattice,L06DS-14,83,1,9,9,Entry,1296.31,,
1114,2006,DS,Stress,Alpha-lattice,L06DS-14,129,2,9,2,Entry,669.81,,
1115,2006,DS,Stress,Alpha-lattice,L06DS-14,308,3,9,9,Entry,157.54,,
1953,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,74,1,9,8,Entry,1445.49,,
1954,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,141,2,9,4,Entry,902.81,,
1955,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,327,3,9,11,Entry,230.41,,
1116,2006,DS,Stress,Alpha-lattice,L06DS-14,78,1,10,8,Entry,267.3,,
1117,2006,DS,Stress,Alpha-lattice,L06DS-14,111,2,10,1,Entry,451.05,,
1118,2006,DS,Stress,Alpha-lattice,L06DS-14,265,3,10,5,Entry,333.74,,
1956,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,16,1,10,2,Entry,661.41,,
1957,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,157,2,10,5,Entry,1497.1,,
1958,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,310,3,10,9,Entry,712.07,,
1119,2006,DS,Stress,Alpha-lattice,L06DS-14,97,1,11,10,Entry,202.25,,
1120,2006,DS,Stress,Alpha-lattice,L06DS-14,180,2,11,7,Entry,588.44,,
1121,2006,DS,Stress,Alpha-lattice,L06DS-14,248,3,11,3,Entry,375.6,,
1959,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,46,1,11,5,Entry,1407.83,,
1960,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,154,2,11,5,Entry,1385.98,,
1961,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,227,3,11,1,Entry,1541.49,,
1125,2006,DS,Stress,Alpha-lattice,L06DS-14,12,1,13,2,Entry,778.64,,
1126,2006,DS,Stress,Alpha-lattice,L06DS-14,213,2,13,11,Entry,106.72,,
1127,2006,DS,Stress,Alpha-lattice,L06DS-14,266,3,13,5,Entry,345.56,,
1965,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,56,1,13,6,Entry,1821.98,,
1966,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,213,2,13,11,Entry,1213.11,,
1967,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,317,3,13,10,Entry,1440.32,,
19547,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,250,1,289,4,Entry,4675.070779,4,7
1596,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,55,1,60,7,Entry,1156.26,,
1597,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,146,2,60,9,Entry,1176.68,,
1598,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,196,3,60,5,Entry,1700.07,,
2706,2006,WS,Stress,Alpha-Lattice,L06WS-15,47,1,60,6,Entry,162.19,,
2707,2006,WS,Stress,Alpha-Lattice,L06WS-15,116,2,60,5,Entry,399.63,,
2708,2006,WS,Stress,Alpha-Lattice,L06WS-15,239,3,60,10,Entry,467.65,,
8874,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,15,1,74,3,Entry,5472.2,,
8875,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,123,2,74,8,Entry,4419.9,,
8876,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,212,3,74,9,Entry,5048,,
9129,2010,DS,Stress,Alpha-Lattice,L10DS-17,60,1,74,12,Entry,1859,,
9130,2010,DS,Stress,Alpha-Lattice,L10DS-17,92,2,74,2,Entry,2992.3,,
9131,2010,DS,Stress,Alpha-Lattice,L10DS-17,209,3,74,8,Entry,2877.5,,
1644,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,52,1,76,7,Entry,3034.47,,
1645,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,153,2,76,10,Entry,2340.65,,
1646,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,200,3,76,5,Entry,2279.34,,
2754,2006,WS,Stress,Alpha-Lattice,L06WS-15,67,1,76,9,Entry,867.88,,
2755,2006,WS,Stress,Alpha-Lattice,L06WS-15,87,2,76,1,Entry,734.57,,
2756,2006,WS,Stress,Alpha-Lattice,L06WS-15,185,3,76,4,Entry,619.59,,
1647,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,70,1,77,9,Entry,2127.81,,
1648,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,82,2,77,1,Entry,2234.17,,
1649,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,163,3,77,1,Entry,2748.9,,
2757,2006,WS,Stress,Alpha-Lattice,L06WS-15,3,1,77,1,Entry,1070.38,,
2758,2006,WS,Stress,Alpha-Lattice,L06WS-15,88,2,77,1,Entry,200.72,,
2759,2006,WS,Stress,Alpha-Lattice,L06WS-15,200,3,77,5,Entry,401.7,,
1656,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,24,1,80,3,Entry,3183.28,,
1657,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,127,2,80,6,Entry,1638.34,,
1658,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,234,3,80,10,Entry,914.5,,
2766,2006,WS,Stress,Alpha-Lattice,L06WS-15,25,1,80,4,Entry,983.15,,
2767,2006,WS,Stress,Alpha-Lattice,L06WS-15,112,2,80,4,Entry,501.71,,
2768,2006,WS,Stress,Alpha-Lattice,L06WS-15,161,3,80,1,Entry,430.13,,
1593,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,33,1,59,5,Entry,1062.78,,
1594,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,112,2,59,4,Entry,1621.57,,
1595,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,229,3,59,9,Entry,1409.44,,
2703,2006,WS,Stress,Alpha-Lattice,L06WS-15,2,1,59,1,Entry,760.01,,
2704,2006,WS,Stress,Alpha-Lattice,L06WS-15,142,2,59,8,Entry,310.83,,
2705,2006,WS,Stress,Alpha-Lattice,L06WS-15,229,3,59,9,Entry,250.15,,
1620,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,76,1,68,10,Entry,2276.6,,
1621,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,118,2,68,5,Entry,2933.55,,
1622,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,198,3,68,5,Entry,2941.39,,
2730,2006,WS,Stress,Alpha-Lattice,L06WS-15,52,1,68,7,Entry,1248.04,,
2731,2006,WS,Stress,Alpha-Lattice,L06WS-15,97,2,68,3,Entry,137.42,,
2732,2006,WS,Stress,Alpha-Lattice,L06WS-15,162,3,68,1,Entry,271.39,,
6279,2008,WS,Non-Stress,Alpha-Lattice,L08WS-15,56,1,53,7,Entry,2069.59,,
6280,2008,WS,Non-Stress,Alpha-Lattice,L08WS-15,86,2,53,1,Entry,2839.18,,
6281,2008,WS,Non-Stress,Alpha-Lattice,L08WS-15,237,3,53,10,Entry,2947.26,,
6519,2008,WS,Stress,Alpha-Lattice,L08WS-16,39,1,53,5,Entry,2205.31,,
6520,2008,WS,Stress,Alpha-Lattice,L08WS-16,116,2,53,5,Entry,2705.5,,
6521,2008,WS,Stress,Alpha-Lattice,L08WS-16,199,3,53,5,Entry,2116.17,,
6303,2008,WS,Non-Stress,Alpha-Lattice,L08WS-15,12,1,61,2,Entry,3252.27,,
6304,2008,WS,Non-Stress,Alpha-Lattice,L08WS-15,152,2,61,9,Entry,3492.57,,
6305,2008,WS,Non-Stress,Alpha-Lattice,L08WS-15,233,3,61,10,Entry,3740.99,,
6543,2008,WS,Stress,Alpha-Lattice,L08WS-16,18,1,61,3,Entry,4296.48,,
6544,2008,WS,Stress,Alpha-Lattice,L08WS-16,131,2,61,7,Entry,1825.89,,
6545,2008,WS,Stress,Alpha-Lattice,L08WS-16,235,3,61,10,Entry,1909,,
8481,2009,WS,Non-Stress,Alpha-Lattice,L09WS-18,5,1,43,1,Entry,3895.7,,
8482,2009,WS,Non-Stress,Alpha-Lattice,L09WS-18,55,2,43,1,Entry,3182.2,,
8483,2009,WS,Non-Stress,Alpha-Lattice,L09WS-18,145,3,43,9,Entry,3541.5,,
8631,2009,WS,Stress,Alpha-Lattice,L09WS-19,16,1,43,4,Entry,4290.7,,
8632,2009,WS,Stress,Alpha-Lattice,L09WS-19,66,2,43,4,Entry,3832.5,,
8633,2009,WS,Stress,Alpha-Lattice,L09WS-19,113,3,43,3,Entry,3519.1,,
8862,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,72,1,70,15,Entry,5500.9,,
8863,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,148,2,70,13,Entry,5598.2,,
8864,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,225,3,70,11,Entry,4631.2,,
9117,2010,DS,Stress,Alpha-Lattice,L10DS-17,74,1,70,15,Entry,1356.5,,
9118,2010,DS,Stress,Alpha-Lattice,L10DS-17,104,2,70,4,Entry,2054.9,,
9119,2010,DS,Stress,Alpha-Lattice,L10DS-17,191,3,70,5,Entry,2845.9,,
6693,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,13,1,31,4,Entry,4839,,
6694,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,272,2,31,4,Entry,5184.4,,
6695,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,471,3,31,4,Entry,4952.6,,
7173,2009,DS,Stress,Alpha-Lattice,L09DS-12,130,1,31,4,Entry,1329.17,,
7174,2009,DS,Stress,Alpha-Lattice,L09DS-12,292,2,31,4,Entry,896.94,,
7175,2009,DS,Stress,Alpha-Lattice,L09DS-12,446,3,31,4,Entry,1283.33,,
7860,2009,WS,Non-Stress,Alpha-Lattice,L09WS-16,14,1,76,2,Entry,5508.62,,
7861,2009,WS,Non-Stress,Alpha-Lattice,L09WS-16,186,2,76,7,Entry,4436.61,,
7862,2009,WS,Non-Stress,Alpha-Lattice,L09WS-16,282,3,76,5,Entry,4721.28,,
8220,2009,WS,Stress,Alpha-Lattice,L09WS-17,7,1,76,1,Entry,4155,,
8221,2009,WS,Stress,Alpha-Lattice,L09WS-17,195,2,76,8,Entry,3812,,
8222,2009,WS,Stress,Alpha-Lattice,L09WS-17,280,3,76,4,Entry,4446,,
8814,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,34,1,54,7,Entry,5895.7,,
8815,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,109,2,54,5,Entry,4862.9,,
8816,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,193,3,54,5,Entry,5337.8,,
9069,2010,DS,Stress,Alpha-Lattice,L10DS-17,38,1,54,8,Entry,1855.7,,
9070,2010,DS,Stress,Alpha-Lattice,L10DS-17,120,2,54,7,Entry,1792.5,,
9071,2010,DS,Stress,Alpha-Lattice,L10DS-17,215,3,54,9,Entry,2975.2,,
6768,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,44,1,56,6,Entry,6728.2,,
6769,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,259,2,56,6,Entry,5929.7,,
6770,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,326,3,56,6,Entry,5272.6,,
7248,2009,DS,Stress,Alpha-Lattice,L09DS-12,26,1,56,6,Entry,41.05,,
7249,2009,DS,Stress,Alpha-Lattice,L09DS-12,238,2,56,6,Entry,833.17,,
7250,2009,DS,Stress,Alpha-Lattice,L09DS-12,347,3,56,6,Entry,1470.3,,
7698,2009,WS,Non-Stress,Alpha-Lattice,L09WS-16,40,1,22,4,Entry,4611.8,,
7699,2009,WS,Non-Stress,Alpha-Lattice,L09WS-16,126,2,22,1,Entry,4852.01,,
7700,2009,WS,Non-Stress,Alpha-Lattice,L09WS-16,291,3,22,6,Entry,4449.16,,
8058,2009,WS,Stress,Alpha-Lattice,L09WS-17,115,1,22,12,Entry,2636,,
8059,2009,WS,Stress,Alpha-Lattice,L09WS-17,184,2,22,7,Entry,4558,,
8060,2009,WS,Stress,Alpha-Lattice,L09WS-17,255,3,22,2,Entry,2396,,
8793,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,85,1,47,17,Entry,5590.3,,
8794,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,141,2,47,12,Entry,7360.2,,
8795,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,213,3,47,9,Entry,5864.5,,
9048,2010,DS,Stress,Alpha-Lattice,L10DS-17,50,1,47,10,Entry,1061,,
9049,2010,DS,Stress,Alpha-Lattice,L10DS-17,87,2,47,1,Entry,2184.8,,
9050,2010,DS,Stress,Alpha-Lattice,L10DS-17,177,3,47,2,Entry,2309.6,,
6909,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,23,1,103,11,Entry,5945.6,,
6910,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,296,2,103,11,Entry,5142.1,,
6911,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,341,3,103,11,Entry,4573.4,,
7389,2009,DS,Stress,Alpha-Lattice,L09DS-12,78,1,103,11,Entry,178.67,,
7390,2009,DS,Stress,Alpha-Lattice,L09DS-12,307,2,103,11,Entry,411.9,,
7391,2009,DS,Stress,Alpha-Lattice,L09DS-12,379,3,103,11,Entry,247.67,,
8394,2009,WS,Non-Stress,Alpha-Lattice,L09WS-18,43,1,14,9,Entry,4036.2,,
8395,2009,WS,Non-Stress,Alpha-Lattice,L09WS-18,78,2,14,6,Entry,3558.5,,
8396,2009,WS,Non-Stress,Alpha-Lattice,L09WS-18,134,3,14,7,Entry,2837,,
8544,2009,WS,Stress,Alpha-Lattice,L09WS-19,2,1,14,1,Entry,4777.3,,
8545,2009,WS,Stress,Alpha-Lattice,L09WS-19,77,2,14,6,Entry,3663.3,,
8546,2009,WS,Stress,Alpha-Lattice,L09WS-19,127,3,14,6,Entry,3446.5,,
8829,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,49,1,59,10,Entry,4595.2,,
8830,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,95,2,59,2,Entry,5670.8,,
8831,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,252,3,59,17,Entry,6320.7,,
9084,2010,DS,Stress,Alpha-Lattice,L10DS-17,64,1,59,13,Entry,1559.8,,
9085,2010,DS,Stress,Alpha-Lattice,L10DS-17,114,2,59,6,Entry,2446.6,,
9086,2010,DS,Stress,Alpha-Lattice,L10DS-17,195,3,59,5,Entry,2205.4,,
