Environment,Season,Replication,Block,Row,Col,Yield,Genotype
ENV1,2018DS,2,NA,4,81,1777.49354,Genotype_10359
ENV1,2018DS,1,NA,4,42,NA,Genotype_10361
ENV1,2018DS,2,NA,1,63,1230.813953,Genotype_10361
ENV1,2018DS,1,NA,6,32,2013.953488,Genotype_10362
ENV1,2018DS,2,NA,5,49,2911.111111,Genotype_10362
ENV1,2018DS,1,NA,1,8,2808.817829,Genotype_10363
ENV1,2018DS,2,NA,6,67,3428.294574,Genotype_10363
ENV1,2018DS,1,NA,5,7,1311.033592,Genotype_10367
ENV1,2018DS,2,NA,6,69,2213.882429,Genotype_10367
ENV1,2018DS,1,NA,6,7,2397.131783,Genotype_10370
ENV1,2018DS,2,NA,4,61,2157.48385,Genotype_10370
ENV1,2018DS,1,NA,1,31,2578.604651,Genotype_10371
ENV1,2018DS,2,NA,2,67,2523.75969,Genotype_10371
ENV1,2018DS,1,NA,2,35,1901.124031,Genotype_10372
ENV1,2018DS,2,NA,5,52,3434.211886,Genotype_10372
ENV1,2018DS,1,NA,6,27,1297.984496,Genotype_10374
ENV1,2018DS,2,NA,1,81,6442.726098,Genotype_10374
ENV1,2018DS,1,NA,6,28,1864.186047,Genotype_10375
ENV1,2018DS,2,NA,2,79,1947.655039,Genotype_10375
ENV1,2018DS,1,NA,2,10,2674.651163,Genotype_10382
ENV1,2018DS,2,NA,1,84,2284.011628,Genotype_10382
ENV1,2018DS,1,NA,3,37,2280.148579,Genotype_10386
ENV1,2018DS,2,NA,4,54,2186.989664,Genotype_10386
ENV1,2018DS,1,NA,3,14,985.4392765,Genotype_10388
ENV1,2018DS,2,NA,2,80,NA,Genotype_10388
ENV1,2018DS,1,NA,1,15,283.9593023,Genotype_10389
ENV1,2018DS,2,NA,6,44,2718.255814,Genotype_10389
ENV1,2018DS,1,NA,3,32,1857.713178,Genotype_10390
ENV1,2018DS,2,NA,4,86,1270.581395,Genotype_10390
ENV1,2018DS,1,NA,5,5,1463.165375,Genotype_10392
ENV1,2018DS,2,NA,6,62,3734.418605,Genotype_10392
ENV1,2018DS,1,NA,6,35,2511.627907,Genotype_10395
ENV1,2018DS,2,NA,5,73,4160.503876,Genotype_10395
ENV1,2018DS,1,NA,4,15,2575.736434,Genotype_10400
ENV1,2018DS,2,NA,3,55,NA,Genotype_10400
ENV1,2018DS,1,NA,1,25,2897.571059,Genotype_10401
ENV1,2018DS,2,NA,4,56,3162.144703,Genotype_10401
ENV1,2018DS,1,NA,2,13,1777.777778,Genotype_10411
ENV1,2018DS,2,NA,6,61,2546.343669,Genotype_10411
ENV1,2018DS,1,NA,3,33,1304.534884,Genotype_10413
ENV1,2018DS,2,NA,6,64,2281.20155,Genotype_10413
ENV1,2018DS,1,NA,2,5,2947.189922,Genotype_10415
ENV1,2018DS,2,NA,3,46,1222.47739,Genotype_10415
ENV1,2018DS,1,NA,4,8,1262.015504,Genotype_10416
ENV1,2018DS,2,NA,2,59,NA,Genotype_10416
ENV1,2018DS,1,NA,3,13,406.498708,Genotype_10417
ENV1,2018DS,2,NA,1,49,2106.20155,Genotype_10417
ENV1,2018DS,1,NA,4,17,1501.744186,Genotype_10419
ENV1,2018DS,2,NA,2,62,3022.222222,Genotype_10419
ENV1,2018DS,1,NA,1,13,2205,Genotype_10421
ENV1,2018DS,2,NA,6,50,1371.944444,Genotype_10421
ENV1,2018DS,1,NA,5,24,2769.883721,Genotype_10424
ENV1,2018DS,2,NA,1,80,1734.444444,Genotype_10424
ENV1,2018DS,1,NA,2,8,2694.444444,Genotype_10429
ENV1,2018DS,2,NA,1,66,2472.945736,Genotype_10429
ENV1,2018DS,1,NA,2,34,1832.848837,Genotype_10430
ENV1,2018DS,2,NA,3,44,1998.456072,Genotype_10430
ENV1,2018DS,1,NA,3,11,2745.258398,Genotype_10431
ENV1,2018DS,2,NA,5,72,4879.031008,Genotype_10431
ENV1,2018DS,1,NA,2,32,608.9793282,Genotype_10432
ENV1,2018DS,2,NA,1,75,1359.121447,Genotype_10432
ENV1,2018DS,1,NA,1,12,4993.914729,Genotype_10436
ENV1,2018DS,2,NA,2,49,2749.176357,Genotype_10436
ENV1,2018DS,1,NA,1,41,1720.930233,Genotype_10439
ENV1,2018DS,2,NA,2,53,697.3514212,Genotype_10439
ENV1,2018DS,1,NA,1,20,NA,Genotype_10441
ENV1,2018DS,2,NA,5,63,3249.922481,Genotype_10441
ENV1,2018DS,1,NA,2,4,1001.162791,Genotype_10444
ENV1,2018DS,2,NA,4,69,1711.369509,Genotype_10444
ENV1,2018DS,1,NA,4,33,1843.165375,Genotype_10445
ENV1,2018DS,2,NA,3,49,1762.348191,Genotype_10445
ENV1,2018DS,1,NA,2,6,758.7209302,Genotype_10448
ENV1,2018DS,2,NA,2,72,2342.4677,Genotype_10448
ENV1,2018DS,1,NA,1,7,4115.103359,Genotype_10455
ENV1,2018DS,2,NA,4,76,2087.015504,Genotype_10455
ENV1,2018DS,1,NA,2,41,2037.209302,Genotype_10456
ENV1,2018DS,2,NA,6,54,1560.607235,Genotype_10456
ENV1,2018DS,1,NA,1,22,3172.093023,Genotype_10457
ENV1,2018DS,2,NA,2,78,2925.151809,Genotype_10457
ENV1,2018DS,1,NA,3,25,329.3023256,Genotype_10461
ENV1,2018DS,2,NA,1,44,2467.183463,Genotype_10461
ENV1,2018DS,1,NA,3,34,2617.674419,Genotype_10462
ENV1,2018DS,2,NA,2,50,2593.045866,Genotype_10462
ENV1,2018DS,1,NA,4,37,1951.007752,Genotype_10463
ENV1,2018DS,2,NA,3,85,1787.625969,Genotype_10463
ENV1,2018DS,1,NA,1,37,1964.793282,Genotype_10467
ENV1,2018DS,2,NA,3,47,2382.790698,Genotype_10467
ENV1,2018DS,1,NA,5,4,2675.710594,Genotype_10471
ENV1,2018DS,2,NA,3,54,2784.186047,Genotype_10471
ENV1,2018DS,1,NA,3,12,2357.751938,Genotype_10472
ENV1,2018DS,2,NA,4,70,2035.526486,Genotype_10472
ENV1,2018DS,1,NA,5,41,440.9302326,Genotype_10473
ENV1,2018DS,2,NA,3,51,2436.343669,Genotype_10473
ENV1,2018DS,1,NA,6,18,1291.453488,Genotype_10475
ENV1,2018DS,2,NA,3,66,2356.162791,Genotype_10475
ENV1,2018DS,1,NA,2,18,1462.325581,Genotype_10478
ENV1,2018DS,2,NA,6,63,2031.686047,Genotype_10478
ENV1,2018DS,1,NA,4,16,1093.023256,Genotype_10480
ENV1,2018DS,2,NA,1,78,3079.815891,Genotype_10480
ENV1,2018DS,1,NA,1,6,2829.767442,Genotype_10483
ENV1,2018DS,2,NA,5,69,3745.478036,Genotype_10483
ENV1,2018DS,1,NA,1,1,2771.317829,Genotype_10485
ENV1,2018DS,2,NA,5,46,2202.5323,Genotype_10485
ENV1,2018DS,1,NA,3,4,2052.248062,Genotype_10488
ENV1,2018DS,2,NA,2,64,1535.316537,Genotype_10488
ENV1,2018DS,1,NA,2,30,3218.423773,Genotype_10489
ENV1,2018DS,2,NA,5,71,3366.27907,Genotype_10489
ENV1,2018DS,1,NA,5,8,NA,Genotype_10493
ENV1,2018DS,2,NA,4,58,3253.653101,Genotype_10493
ENV1,2018DS,1,NA,5,32,2199.547804,Genotype_10496
ENV1,2018DS,2,NA,1,50,1812.44186,Genotype_10496
ENV1,2018DS,1,NA,5,22,2858.875969,Genotype_10499
ENV1,2018DS,2,NA,2,86,3349.263566,Genotype_10499
ENV1,2018DS,1,NA,6,41,955.5555556,Genotype_10500
ENV1,2018DS,2,NA,4,72,1434.450904,Genotype_10500
ENV1,2018DS,1,NA,6,16,2161.757106,Genotype_10503
ENV1,2018DS,2,NA,5,54,1503.036176,Genotype_10503
ENV1,2018DS,1,NA,3,43,3282.952196,Genotype_10508
ENV1,2018DS,2,NA,6,45,1693.123385,Genotype_10508
ENV1,2018DS,1,NA,3,21,1211.162791,Genotype_10515
ENV1,2018DS,2,NA,2,69,2737.015504,Genotype_10515
ENV1,2018DS,1,NA,1,43,3474.651163,Genotype_10516
ENV1,2018DS,2,NA,4,44,1826.479328,Genotype_10516
ENV1,2018DS,1,NA,1,39,3067.041344,Genotype_10530
ENV1,2018DS,2,NA,1,76,3420.645995,Genotype_10530
ENV1,2018DS,1,NA,4,38,2536.886305,Genotype_10531
ENV1,2018DS,2,NA,2,76,NA,Genotype_10531
ENV1,2018DS,1,NA,2,27,3522.222222,Genotype_10545
ENV1,2018DS,2,NA,6,82,2018.627261,Genotype_10545
ENV1,2018DS,1,NA,4,9,1738.372093,Genotype_10555
ENV1,2018DS,2,NA,1,83,3664.250646,Genotype_10555
ENV1,2018DS,1,NA,1,35,1206.944444,Genotype_10560
ENV1,2018DS,2,NA,4,50,1584.815891,Genotype_10560
ENV1,2018DS,1,NA,6,38,2308.236434,Genotype_10568
ENV1,2018DS,2,NA,4,46,1466.666667,Genotype_10568
ENV1,2018DS,1,NA,3,27,373.0878553,Genotype_10578
ENV1,2018DS,2,NA,5,56,3052.422481,Genotype_10578
ENV1,2018DS,1,NA,3,20,1669.031008,Genotype_10582
ENV1,2018DS,2,NA,6,78,2125.542636,Genotype_10582
ENV1,2018DS,1,NA,2,17,3259.534884,Genotype_10587
ENV1,2018DS,2,NA,6,76,3384.496124,Genotype_10587
ENV1,2018DS,1,NA,1,30,1957.655039,Genotype_10588
ENV1,2018DS,2,NA,6,75,2796.789406,Genotype_10588
ENV1,2018DS,1,NA,1,21,2347.383721,Genotype_10589
ENV1,2018DS,2,NA,5,85,2690.05814,Genotype_10589
ENV1,2018DS,1,NA,6,8,1292.167313,Genotype_10590
ENV1,2018DS,2,NA,1,68,1241.666667,Genotype_10590
ENV1,2018DS,1,NA,1,28,2091.521318,Genotype_10592
ENV1,2018DS,2,NA,2,46,NA,Genotype_10592
ENV1,2018DS,1,NA,6,26,NA,Genotype_10594
ENV1,2018DS,2,NA,6,56,3349.612403,Genotype_10594
ENV1,2018DS,1,NA,2,15,1120.917313,Genotype_10595
ENV1,2018DS,2,NA,4,45,1271.908915,Genotype_10595
ENV1,2018DS,1,NA,5,9,1861.111111,Genotype_10596
ENV1,2018DS,2,NA,4,84,2325.581395,Genotype_10596
ENV1,2018DS,1,NA,3,24,1724.651163,Genotype_10598
ENV1,2018DS,2,NA,6,57,3401.29845,Genotype_10598
ENV1,2018DS,1,NA,6,25,1697.810078,Genotype_10605
ENV1,2018DS,2,NA,4,60,1494.186047,Genotype_10605
ENV1,2018DS,1,NA,6,5,3142.53876,Genotype_10610
ENV1,2018DS,2,NA,5,74,3196.27907,Genotype_10610
ENV1,2018DS,1,NA,2,29,2347.267442,Genotype_10611
ENV1,2018DS,2,NA,3,80,1383.333333,Genotype_10611
ENV1,2018DS,1,NA,6,14,3045.381137,Genotype_10615
ENV1,2018DS,2,NA,4,57,1654.593023,Genotype_10615
ENV1,2018DS,1,NA,5,12,NA,Genotype_10626
ENV1,2018DS,2,NA,4,55,1971.550388,Genotype_10626
ENV1,2018DS,1,NA,4,3,1437.215762,Genotype_10629
ENV1,2018DS,2,NA,3,69,1436.905685,Genotype_10629
ENV1,2018DS,1,NA,2,11,3201.828165,Genotype_10630
ENV1,2018DS,2,NA,1,52,2621.705426,Genotype_10630
ENV1,2018DS,1,NA,4,41,2839.069767,Genotype_10633
ENV1,2018DS,2,NA,2,73,2567.093023,Genotype_10633
ENV1,2018DS,1,NA,6,29,3084.935401,Genotype_10634
ENV1,2018DS,2,NA,4,71,1250,Genotype_10634
ENV1,2018DS,1,NA,5,28,2819.534884,Genotype_10639
ENV1,2018DS,2,NA,3,82,2851.007752,Genotype_10639
ENV1,2018DS,1,NA,4,4,1721.24031,Genotype_10647
ENV1,2018DS,2,NA,6,74,3523.255814,Genotype_10647
ENV1,2018DS,1,NA,2,37,2291.976744,Genotype_10654
ENV1,2018DS,2,NA,1,86,4508.171835,Genotype_10654
ENV1,2018DS,1,NA,3,40,954.4444444,Genotype_10659
ENV1,2018DS,2,NA,4,82,1077.290052,Genotype_10659
ENV1,2018DS,1,NA,1,36,2879.689922,Genotype_10667
ENV1,2018DS,2,NA,6,51,1547.596899,Genotype_10667
ENV1,2018DS,1,NA,4,26,NA,Genotype_10673
ENV1,2018DS,2,NA,1,59,2713.69509,Genotype_10673
ENV1,2018DS,1,NA,6,43,2964.147287,Genotype_10674
ENV1,2018DS,2,NA,3,53,NA,Genotype_10674
ENV1,2018DS,1,NA,6,36,2825.503876,Genotype_10683
ENV1,2018DS,2,NA,2,47,2366.511628,Genotype_10683
ENV1,2018DS,1,NA,2,39,2768.372093,Genotype_10684
ENV1,2018DS,2,NA,6,73,2748.443152,Genotype_10684
ENV1,2018DS,1,NA,4,19,2833.472222,Genotype_10685
ENV1,2018DS,2,NA,3,67,2848.475452,Genotype_10685
ENV1,2018DS,1,NA,5,25,1555.555556,Genotype_10690
ENV1,2018DS,2,NA,6,58,3110.465116,Genotype_10690
ENV1,2018DS,1,NA,5,26,2753.197674,Genotype_10695
ENV1,2018DS,2,NA,3,57,1744.166667,Genotype_10695
ENV1,2018DS,1,NA,4,5,2726.485788,Genotype_10697
ENV1,2018DS,2,NA,3,72,NA,Genotype_10697
ENV1,2018DS,1,NA,1,29,3035.620155,Genotype_10701
ENV1,2018DS,2,NA,5,81,3065.775194,Genotype_10701
ENV1,2018DS,1,NA,2,9,1992.861757,Genotype_10704
ENV1,2018DS,2,NA,6,65,2349.431525,Genotype_10704
ENV1,2018DS,1,NA,5,1,NA,Genotype_10705
ENV1,2018DS,2,NA,3,79,2257.122093,Genotype_10705
ENV1,2018DS,1,NA,1,2,2755.581395,Genotype_10706
ENV1,2018DS,2,NA,2,45,NA,Genotype_10706
ENV1,2018DS,1,NA,1,26,1999.147287,Genotype_10707
ENV1,2018DS,2,NA,5,58,2056.466408,Genotype_10707
ENV1,2018DS,1,NA,3,7,3491.434109,Genotype_10714
ENV1,2018DS,2,NA,1,60,3392.377261,Genotype_10714
ENV1,2018DS,1,NA,2,22,2505.555556,Genotype_10717
ENV1,2018DS,2,NA,5,80,3132.44186,Genotype_10717
ENV1,2018DS,1,NA,5,29,2567.44186,Genotype_10719
ENV1,2018DS,2,NA,3,61,874.5930233,Genotype_10719
ENV1,2018DS,1,NA,1,27,3836.569767,Genotype_10720
ENV1,2018DS,2,NA,3,83,3142.53876,Genotype_10720
ENV1,2018DS,1,NA,5,23,NA,Genotype_10721
ENV1,2018DS,2,NA,4,59,2427.209302,Genotype_10721
ENV1,2018DS,1,NA,1,38,3407.364341,Genotype_10725
ENV1,2018DS,2,NA,2,57,3882.286822,Genotype_10725
ENV1,2018DS,1,NA,5,37,1195.801034,Genotype_10736
ENV1,2018DS,2,NA,2,56,1714.418605,Genotype_10736
ENV1,2018DS,1,NA,4,21,1811.627907,Genotype_10738
ENV1,2018DS,2,NA,5,70,2321.356589,Genotype_10738
ENV1,2018DS,1,NA,2,7,919.5865633,Genotype_10742
ENV1,2018DS,2,NA,3,68,NA,Genotype_10742
ENV1,2018DS,1,NA,6,12,3502.945736,Genotype_10743
ENV1,2018DS,2,NA,1,54,3585.271318,Genotype_10743
ENV1,2018DS,1,NA,5,42,NA,Genotype_10748
ENV1,2018DS,2,NA,1,53,953.3139535,Genotype_10748
ENV1,2018DS,1,NA,1,3,2391.666667,Genotype_10752
ENV1,2018DS,2,NA,2,54,2914.050388,Genotype_10752
ENV1,2018DS,1,NA,2,26,2917.881137,Genotype_10755
ENV1,2018DS,2,NA,6,60,3850.0323,Genotype_10755
ENV1,2018DS,1,NA,5,20,4228.410853,Genotype_10757
ENV1,2018DS,2,NA,3,65,2273.901809,Genotype_10757
ENV1,2018DS,1,NA,5,11,2526.25969,Genotype_10760
ENV1,2018DS,2,NA,1,71,2810.852713,Genotype_10760
ENV1,2018DS,1,NA,4,23,1571.162791,Genotype_10762
ENV1,2018DS,2,NA,2,58,1730.639535,Genotype_10762
ENV1,2018DS,1,NA,6,42,2609.069767,Genotype_10766
ENV1,2018DS,2,NA,4,83,2194.379845,Genotype_10766
ENV1,2018DS,1,NA,2,14,1581.447028,Genotype_10767
ENV1,2018DS,2,NA,3,62,NA,Genotype_10767
ENV1,2018DS,1,NA,5,36,1173.262274,Genotype_10770
ENV1,2018DS,2,NA,6,84,1788.70801,Genotype_10770
ENV1,2018DS,1,NA,6,1,3474.728682,Genotype_10775
ENV1,2018DS,2,NA,4,64,2400.859173,Genotype_10775
ENV1,2018DS,1,NA,6,23,2605.03876,Genotype_10782
ENV1,2018DS,2,NA,3,78,1521.30814,Genotype_10782
ENV1,2018DS,1,NA,2,25,2105.135659,Genotype_10785
ENV1,2018DS,2,NA,1,57,1362.790698,Genotype_10785
ENV1,2018DS,1,NA,2,31,3075.348837,Genotype_10786
ENV1,2018DS,2,NA,1,70,NA,Genotype_10786
ENV1,2018DS,1,NA,4,24,2260.484496,Genotype_10787
ENV1,2018DS,2,NA,5,79,3476.744186,Genotype_10787
ENV1,2018DS,1,NA,3,17,882.3062016,Genotype_10793
ENV1,2018DS,2,NA,4,75,1673.598191,Genotype_10793
ENV1,2018DS,1,NA,1,16,372.2222222,Genotype_10794
ENV1,2018DS,2,NA,3,75,NA,Genotype_10794
ENV1,2018DS,1,NA,6,39,2812.080103,Genotype_10795
ENV1,2018DS,2,NA,5,84,2429.96124,Genotype_10795
ENV1,2018DS,1,NA,6,31,3747.990956,Genotype_10796
ENV1,2018DS,2,NA,3,48,3236.25969,Genotype_10796
ENV1,2018DS,1,NA,2,40,1264.315245,Genotype_10799
ENV1,2018DS,2,NA,6,81,2702.383721,Genotype_10799
ENV1,2018DS,1,NA,6,17,NA,Genotype_10801
ENV1,2018DS,2,NA,1,65,2329.418605,Genotype_10801
ENV1,2018DS,1,NA,3,8,NA,Genotype_10805
ENV1,2018DS,2,NA,2,52,NA,Genotype_10805
ENV1,2018DS,1,NA,2,2,2953.79845,Genotype_10811
ENV1,2018DS,2,NA,3,64,2353.81137,Genotype_10811
ENV1,2018DS,1,NA,4,12,1633.171835,Genotype_10813
ENV1,2018DS,2,NA,6,53,1870.658915,Genotype_10813
ENV1,2018DS,1,NA,3,42,322.2222222,Genotype_10814
ENV1,2018DS,2,NA,2,84,2352.138243,Genotype_10814
ENV1,2018DS,1,NA,5,21,1846.925065,Genotype_10815
ENV1,2018DS,2,NA,1,58,2593.071705,Genotype_10815
ENV1,2018DS,1,NA,6,20,NA,Genotype_10816
ENV1,2018DS,2,NA,3,70,2618.992248,Genotype_10816
ENV1,2018DS,1,NA,5,17,NA,Genotype_10823
ENV1,2018DS,2,NA,3,77,1267.52584,Genotype_10823
ENV1,2018DS,1,NA,2,33,801.8604651,Genotype_10825
ENV1,2018DS,2,NA,4,51,2341.007752,Genotype_10825
ENV1,2018DS,1,NA,2,42,3001.408269,Genotype_10826
ENV1,2018DS,2,NA,3,50,NA,Genotype_10826
ENV1,2018DS,1,NA,2,19,3551.421189,Genotype_10829
ENV1,2018DS,2,NA,5,66,3259.069767,Genotype_10829
ENV1,2018DS,1,NA,1,5,3672.55814,Genotype_10835
ENV1,2018DS,2,NA,2,81,1268.937339,Genotype_10835
ENV1,2018DS,1,NA,5,33,1856.782946,Genotype_10844
ENV1,2018DS,2,NA,1,74,1349.896641,Genotype_10844
ENV1,2018DS,1,NA,1,42,NA,Genotype_10847
ENV1,2018DS,2,NA,5,82,2068.217054,Genotype_10847
ENV1,2018DS,1,NA,3,41,3039.069767,Genotype_10849
ENV1,2018DS,2,NA,1,55,1746.925065,Genotype_10849
ENV1,2018DS,1,NA,3,9,3277.777778,Genotype_10850
ENV1,2018DS,2,NA,1,69,3366.065891,Genotype_10850
ENV1,2018DS,1,NA,6,19,3618.100775,Genotype_10853
ENV1,2018DS,2,NA,5,59,2585.865633,Genotype_10853
ENV1,2018DS,1,NA,5,16,2432.49354,Genotype_10854
ENV1,2018DS,2,NA,1,45,1292.932817,Genotype_10854
ENV1,2018DS,1,NA,3,35,2211.111111,Genotype_10856
ENV1,2018DS,2,NA,6,47,2424.418605,Genotype_10856
ENV1,2018DS,1,NA,5,40,NA,Genotype_10869
ENV1,2018DS,2,NA,6,86,4230.03876,Genotype_10869
