Environment,Season,Replication,Block,Row,Col,Yield,Genotype
Env1,2018DS,1,NA,2,39,2768.372093,Genotype10684
Env1,2018DS,1,NA,2,38,1539.922481,Genotype10228
Env1,2018DS,1,NA,2,37,2291.976744,Genotype10654
Env1,2018DS,1,NA,2,36,1014.909561,Genotype10347
Env1,2018DS,1,NA,2,35,1901.124031,Genotype10372
Env1,2018DS,1,NA,2,34,1832.848837,Genotype10430
Env1,2018DS,1,NA,2,33,801.8604651,Genotype10825
Env1,2018DS,1,NA,2,32,608.9793282,Genotype10432
Env1,2018DS,1,NA,2,31,3075.348837,Genotype10786
Env1,2018DS,1,NA,2,30,3218.423773,Genotype10489
Env1,2018DS,1,NA,2,29,2347.267442,Genotype10611
Env1,2018DS,1,NA,2,28,1302.51938,Genotype11003
Env1,2018DS,1,NA,2,27,3522.222222,Genotype10545
Env1,2018DS,1,NA,2,26,2917.881137,Genotype10755
Env1,2018DS,1,NA,2,25,2105.135659,Genotype10785
Env1,2018DS,1,NA,2,24,1195.394057,Genotype10911
Env1,2018DS,1,NA,2,23,1076.524548,Genotype10306
Env1,2018DS,1,NA,2,22,2505.555556,Genotype10717
Env1,2018DS,1,NA,2,21,1489.567183,Genotype10895
Env1,2018DS,1,NA,2,20,2884.347545,Genotype10220
Env1,2018DS,1,NA,2,19,3551.421189,Genotype10829
Env1,2018DS,1,NA,2,18,1462.325581,Genotype10478
Env1,2018DS,1,NA,2,17,3259.534884,Genotype10587
Env1,2018DS,1,NA,2,16,1238.656331,Genotype10923
Env1,2018DS,1,NA,2,15,1120.917313,Genotype10595
Env1,2018DS,1,NA,2,14,1581.447028,Genotype10767
Env1,2018DS,1,NA,2,13,1777.777778,Genotype10411
Env1,2018DS,1,NA,2,12,3016.666667,Genotype10937
Env1,2018DS,1,NA,2,11,3201.828165,Genotype10630
Env1,2018DS,1,NA,2,10,2674.651163,Genotype10382
Env1,2018DS,1,NA,2,9,1992.861757,Genotype10704
Env1,2018DS,1,NA,2,8,2694.444444,Genotype10429
Env1,2018DS,1,NA,2,7,919.5865633,Genotype10742
Env1,2018DS,1,NA,2,6,758.7209302,Genotype10448
Env1,2018DS,1,NA,2,5,2947.189922,Genotype10415
Env1,2018DS,1,NA,2,4,1001.162791,Genotype10444
Env1,2018DS,1,NA,2,3,1237.44832,Genotype10270
Env1,2018DS,1,NA,2,2,2953.79845,Genotype10811
Env1,2018DS,1,NA,2,1,3527.44186,Genotype10226
Env1,2018DS,1,NA,3,1,1540.213178,Genotype10175
Env1,2018DS,1,NA,3,2,1967.054264,Genotype10295
Env1,2018DS,1,NA,3,3,2172.713178,Genotype10949
Env1,2018DS,1,NA,3,4,2052.248062,Genotype10488
Env1,2018DS,1,NA,3,5,3240.852713,Genotype10965
Env1,2018DS,1,NA,3,6,1080.284238,Genotype10943
Env1,2018DS,1,NA,3,7,3491.434109,Genotype10714
Env1,2018DS,1,NA,3,8,NA,Genotype10805
Env1,2018DS,1,NA,3,9,3277.777778,Genotype10850
Env1,2018DS,1,NA,3,10,2675.968992,Genotype10273
Env1,2018DS,1,NA,3,11,2745.258398,Genotype10431
Env1,2018DS,1,NA,3,12,2357.751938,Genotype10472
Env1,2018DS,1,NA,3,13,406.498708,Genotype10417
Env1,2018DS,1,NA,3,14,985.4392765,Genotype10388
Env1,2018DS,1,NA,3,15,1930.03876,Genotype10274
Env1,2018DS,1,NA,3,16,1456.014212,Genotype10277
Env1,2018DS,1,NA,3,17,882.3062016,Genotype10793
Env1,2018DS,1,NA,3,18,451.8475452,Genotype10211
Env2,2018DS,1,NA,2,22,772.1228384,Check1
Env1,2018DS,1,NA,3,20,1669.031008,Genotype10582
Env1,2018DS,1,NA,3,21,1211.162791,Genotype10515
Env1,2018DS,1,NA,3,22,1350,Genotype10930
Env2,2018DS,2,NA,4,82,1351.937984,Check1
Env1,2018DS,1,NA,3,24,1724.651163,Genotype10598
Env1,2018DS,1,NA,3,25,329.3023256,Genotype10461
Env1,2018DS,1,NA,3,26,168.2170543,Genotype10290
Env1,2018DS,1,NA,3,27,373.0878553,Genotype10578
Env1,2018DS,1,NA,3,28,1686.046512,Genotype10318
Env1,2018DS,1,NA,3,29,1523.062016,Genotype10334
Env1,2018DS,1,NA,3,30,1612.906977,Genotype10961
Env1,2018DS,1,NA,3,31,1746.653747,Genotype10299
Env1,2018DS,1,NA,3,32,1857.713178,Genotype10390
Env1,2018DS,1,NA,3,33,1304.534884,Genotype10413
Env1,2018DS,1,NA,3,34,2617.674419,Genotype10462
Env1,2018DS,1,NA,3,35,2211.111111,Genotype10856
Env1,2018DS,1,NA,3,36,3182.687339,Genotype10251
Env1,2018DS,1,NA,3,37,2280.148579,Genotype10386
Env1,2018DS,1,NA,3,38,2126.511628,Genotype10178
Env1,2018DS,1,NA,3,39,2966.369509,Genotype10184
Env1,2018DS,1,NA,3,40,954.4444444,Genotype10659
Env1,2018DS,1,NA,3,41,3039.069767,Genotype10849
Env1,2018DS,1,NA,3,42,322.2222222,Genotype10814
Env1,2018DS,1,NA,3,43,3282.952196,Genotype10508
Env1,2018DS,1,NA,4,43,712.5452196,Genotype10966
Env1,2018DS,1,NA,4,42,NA,Genotype10361
Env1,2018DS,1,NA,4,41,2839.069767,Genotype10633
Env1,2018DS,1,NA,4,40,2555.568475,Genotype10311
Env1,2018DS,1,NA,4,39,1583.062016,Genotype10186
Env1,2018DS,1,NA,4,38,2536.886305,Genotype10531
Env1,2018DS,1,NA,4,37,1951.007752,Genotype10463
Env1,2018DS,1,NA,4,36,NA,Genotype10222
Env1,2018DS,1,NA,4,35,2794.786822,Genotype10340
Env1,2018DS,1,NA,4,34,3009.651163,Genotype10288
Env1,2018DS,1,NA,4,33,1843.165375,Genotype10445
Env1,2018DS,1,NA,4,32,3026.20155,Genotype10912
Env1,2018DS,1,NA,4,31,1709.166667,Genotype10262
Env1,2018DS,1,NA,4,30,1236.20155,Genotype10980
Env1,2018DS,1,NA,4,29,3406.27907,Genotype10970
Env1,2018DS,1,NA,4,28,NA,Genotype10298
Env1,2018DS,1,NA,4,27,1933.333333,Genotype10176
Env1,2018DS,1,NA,4,26,NA,Genotype10673
Env1,2018DS,1,NA,4,25,1658.914729,Genotype10876
Env1,2018DS,1,NA,4,24,2260.484496,Genotype10787
Env1,2018DS,1,NA,4,23,1571.162791,Genotype10762
Env1,2018DS,1,NA,4,22,3362.603359,Genotype10352
Env1,2018DS,1,NA,4,21,1811.627907,Genotype10738
Env1,2018DS,1,NA,4,20,1724.651163,Genotype10874
Env1,2018DS,1,NA,4,19,2833.472222,Genotype10685
Env1,2018DS,1,NA,4,18,NA,Genotype10328
Env1,2018DS,1,NA,4,17,1501.744186,Genotype10419
Env1,2018DS,1,NA,4,16,1093.023256,Genotype10480
Env1,2018DS,1,NA,4,15,2575.736434,Genotype10400
Env1,2018DS,1,NA,4,14,2465.439276,Genotype10303
Env1,2018DS,1,NA,4,13,1727.939276,Genotype10173
Env1,2018DS,1,NA,4,12,1633.171835,Genotype10813
Env1,2018DS,1,NA,4,11,1230.749354,Genotype10925
Env1,2018DS,1,NA,4,10,2483.72093,Genotype10297
Env1,2018DS,1,NA,4,9,1738.372093,Genotype10555
Env1,2018DS,1,NA,4,8,1262.015504,Genotype10416
Env1,2018DS,1,NA,4,7,2877.189922,Genotype10984
Env1,2018DS,1,NA,4,6,1729.354005,Genotype10936
Env1,2018DS,1,NA,4,5,2726.485788,Genotype10697
Env1,2018DS,1,NA,4,4,1721.24031,Genotype10647
Env1,2018DS,1,NA,4,3,1437.215762,Genotype10629
Env5,2018DS,1,NA,22,3,3864.394327,Check1
Env1,2018DS,1,NA,4,1,980.0516796,Genotype10164
Env1,2018DS,1,NA,5,1,NA,Genotype10705
Env1,2018DS,1,NA,5,2,2050,Genotype10248
Env1,2018DS,1,NA,5,3,701.7118863,Genotype10292
Env1,2018DS,1,NA,5,4,2675.710594,Genotype10471
Env1,2018DS,1,NA,5,5,1463.165375,Genotype10392
Env1,2018DS,1,NA,5,6,NA,Genotype10254
Env1,2018DS,1,NA,5,7,1311.033592,Genotype10367
Env1,2018DS,1,NA,5,8,NA,Genotype10493
Env1,2018DS,1,NA,5,9,1861.111111,Genotype10596
Env1,2018DS,1,NA,5,10,1846.124031,Genotype10302
Env1,2018DS,1,NA,5,11,2526.25969,Genotype10760
Env1,2018DS,1,NA,5,12,NA,Genotype10626
Env1,2018DS,1,NA,5,13,1716.666667,Genotype10963
Env1,2018DS,1,NA,5,14,3461.24031,Genotype10309
Env1,2018DS,1,NA,5,15,1744.186047,Genotype10994
Env1,2018DS,1,NA,5,16,2432.49354,Genotype10854
Env1,2018DS,1,NA,5,17,NA,Genotype10823
Env1,2018DS,1,NA,5,18,3428.294574,Genotype10327
Env1,2018DS,1,NA,5,19,3795.348837,Genotype10985
Env1,2018DS,1,NA,5,20,4228.410853,Genotype10757
Env1,2018DS,1,NA,5,21,1846.925065,Genotype10815
Env1,2018DS,1,NA,5,22,2858.875969,Genotype10499
Env1,2018DS,1,NA,5,23,NA,Genotype10721
Env1,2018DS,1,NA,5,24,2769.883721,Genotype10424
Env1,2018DS,1,NA,5,25,1555.555556,Genotype10690
Env1,2018DS,1,NA,5,26,2753.197674,Genotype10695
Env1,2018DS,1,NA,5,27,1420.264858,Genotype10286
Env1,2018DS,1,NA,5,28,2819.534884,Genotype10639
Env1,2018DS,1,NA,5,29,2567.44186,Genotype10719
Env1,2018DS,1,NA,5,30,3710.439276,Genotype10934
Env1,2018DS,1,NA,5,31,3720.710594,Genotype10346
Env1,2018DS,1,NA,5,32,2199.547804,Genotype10496
Env1,2018DS,1,NA,5,33,1856.782946,Genotype10844
Env1,2018DS,1,NA,5,34,3338.062016,Genotype10359
Env1,2018DS,1,NA,5,35,3813.281654,Genotype10195
Env1,2018DS,1,NA,5,36,1173.262274,Genotype10770
Env1,2018DS,1,NA,5,37,1195.801034,Genotype10736
Env5,2018DS,2,NA,47,1,4854.94186,Check1
Env1,2018DS,1,NA,5,39,1739.832041,Genotype10919
Env1,2018DS,1,NA,5,40,NA,Genotype10869
Env1,2018DS,1,NA,5,41,440.9302326,Genotype10473
Env1,2018DS,1,NA,5,42,NA,Genotype10748
Env1,2018DS,1,NA,5,43,3923.72093,Genotype10899
Env1,2018DS,1,NA,6,43,2964.147287,Genotype10674
Env1,2018DS,1,NA,6,42,2609.069767,Genotype10766
Env1,2018DS,1,NA,6,41,955.5555556,Genotype10500
Env1,2018DS,1,NA,6,40,NA,Genotype10881
Env1,2018DS,1,NA,6,39,2812.080103,Genotype10795
Env1,2018DS,1,NA,6,38,2308.236434,Genotype10568
Env1,2018DS,1,NA,6,37,3831.111111,Genotype10886
Env1,2018DS,1,NA,6,36,2825.503876,Genotype10683
Env1,2018DS,1,NA,6,35,2511.627907,Genotype10395
Env1,2018DS,1,NA,6,34,837.3158915,Genotype10200
Env1,2018DS,1,NA,6,33,5550.507106,Genotype10996
Env1,2018DS,1,NA,6,32,2013.953488,Genotype10362
Env1,2018DS,1,NA,6,31,3747.990956,Genotype10796
Env1,2018DS,1,NA,6,30,1829.916021,Genotype10198
Env1,2018DS,1,NA,6,29,3084.935401,Genotype10634
Env1,2018DS,1,NA,6,28,1864.186047,Genotype10375
Env1,2018DS,1,NA,6,27,1297.984496,Genotype10374
Env1,2018DS,1,NA,6,26,NA,Genotype10594
Env1,2018DS,1,NA,6,25,1697.810078,Genotype10605
Env1,2018DS,1,NA,6,24,1790.258398,Genotype10928
Env1,2018DS,1,NA,6,23,2605.03876,Genotype10782
Env1,2018DS,1,NA,6,22,3662.732558,Genotype10269
Env1,2018DS,1,NA,6,21,2171.705426,Genotype10353
Env1,2018DS,1,NA,6,20,NA,Genotype10816
Env1,2018DS,1,NA,6,19,3618.100775,Genotype10853
Env1,2018DS,1,NA,6,18,1291.453488,Genotype10475
Env1,2018DS,1,NA,6,17,NA,Genotype10801
Env1,2018DS,1,NA,6,16,2161.757106,Genotype10503
Env1,2018DS,1,NA,6,15,1507.48062,Genotype10162
Env1,2018DS,1,NA,6,14,3045.381137,Genotype10615
Env1,2018DS,1,NA,6,13,NA,Genotype10932
Env1,2018DS,1,NA,6,12,3502.945736,Genotype10743
Env1,2018DS,1,NA,6,11,NA,Genotype10870
Env1,2018DS,1,NA,6,10,2613.624031,Genotype10354
Env1,2018DS,1,NA,6,9,1833.126615,Genotype10279
Env1,2018DS,1,NA,6,8,1292.167313,Genotype10590
Env1,2018DS,1,NA,6,7,2397.131783,Genotype10370
Env1,2018DS,1,NA,6,6,2653.081395,Genotype10169
Env1,2018DS,1,NA,6,5,3142.53876,Genotype10610
Env1,2018DS,1,NA,6,4,1297.222222,Genotype10941
Env1,2018DS,1,NA,6,3,2225,Genotype10321
Env1,2018DS,1,NA,6,2,2097.635659,Genotype10902
Env1,2018DS,1,NA,6,1,3474.728682,Genotype10775
Env1,2018DS,2,NA,1,44,2467.183463,Genotype10461
Env1,2018DS,2,NA,1,45,1292.932817,Genotype10854
Env1,2018DS,2,NA,1,46,997.7777778,Genotype10299
Env3,2018DS,1,NA,8,6,842.9389535,Check1
Env1,2018DS,2,NA,1,48,4498.875969,Genotype10949
Env1,2018DS,2,NA,1,49,2106.20155,Genotype10417
Env1,2018DS,2,NA,1,50,1812.44186,Genotype10496
Env1,2018DS,2,NA,1,51,3323.385013,Genotype10903
Env1,2018DS,2,NA,1,52,2621.705426,Genotype10630
Env1,2018DS,2,NA,1,53,953.3139535,Genotype10748
Env1,2018DS,2,NA,1,54,3585.271318,Genotype10743
Env1,2018DS,2,NA,1,55,1746.925065,Genotype10849
Env3,2018DS,2,NA,69,5,3692.093023,Check1
Env1,2018DS,2,NA,1,57,1362.790698,Genotype10785
Env1,2018DS,2,NA,1,58,2593.071705,Genotype10815
Env1,2018DS,2,NA,1,59,2713.69509,Genotype10673
Env1,2018DS,2,NA,1,60,3392.377261,Genotype10714
Env1,2018DS,2,NA,1,61,2453.488372,Genotype10226
Env1,2018DS,2,NA,1,62,NA,Genotype10169
Env1,2018DS,2,NA,1,63,1230.813953,Genotype10361
Env1,2018DS,2,NA,1,64,2396.350129,Genotype10211
Env1,2018DS,2,NA,1,65,2329.418605,Genotype10801
Env1,2018DS,2,NA,1,66,2472.945736,Genotype10429
Env1,2018DS,2,NA,1,67,3786.711886,Genotype10984
Env1,2018DS,2,NA,1,68,1241.666667,Genotype10590
Env1,2018DS,2,NA,1,69,3366.065891,Genotype10850
Env1,2018DS,2,NA,1,70,NA,Genotype10786
Env1,2018DS,2,NA,1,71,2810.852713,Genotype10760
Env1,2018DS,2,NA,1,72,1850.781654,Genotype10178
Env1,2018DS,2,NA,1,73,NA,Genotype10269
Env1,2018DS,2,NA,1,74,1349.896641,Genotype10844
Env1,2018DS,2,NA,1,75,1359.121447,Genotype10432
Env1,2018DS,2,NA,1,76,3420.645995,Genotype10530
Env1,2018DS,2,NA,1,77,NA,Genotype10220
Env1,2018DS,2,NA,1,78,3079.815891,Genotype10480
Env1,2018DS,2,NA,1,79,4044.186047,Genotype10934
Env1,2018DS,2,NA,1,80,1734.444444,Genotype10424
Env1,2018DS,2,NA,1,81,6442.726098,Genotype10374
Env1,2018DS,2,NA,1,82,2683.062016,Genotype10970
Env1,2018DS,2,NA,1,83,3664.250646,Genotype10555
Env1,2018DS,2,NA,1,84,2284.011628,Genotype10382
Env1,2018DS,2,NA,1,85,NA,Genotype10184
Env1,2018DS,2,NA,1,86,4508.171835,Genotype10654
Env1,2018DS,2,NA,2,86,3349.263566,Genotype10499
Env1,2018DS,2,NA,2,85,2529.715762,Genotype10881
Env1,2018DS,2,NA,2,84,2352.138243,Genotype10814
Env1,2018DS,2,NA,2,83,NA,Genotype10928
Env1,2018DS,2,NA,2,82,NA,Genotype10941
Env1,2018DS,2,NA,2,81,1268.937339,Genotype10835
Env1,2018DS,2,NA,2,80,NA,Genotype10388
Env1,2018DS,2,NA,2,79,1947.655039,Genotype10375
Env1,2018DS,2,NA,2,78,2925.151809,Genotype10457
Env1,2018DS,2,NA,2,77,1448.682171,Genotype10353
Env1,2018DS,2,NA,2,76,NA,Genotype10531
Env1,2018DS,2,NA,2,75,4073.585271,Genotype10334
Env1,2018DS,2,NA,2,74,2288.81137,Genotype10919
Env1,2018DS,2,NA,2,73,2567.093023,Genotype10633
Env1,2018DS,2,NA,2,72,2342.4677,Genotype10448
Env1,2018DS,2,NA,2,71,2945.994832,Genotype10985
Env1,2018DS,2,NA,2,70,2158.430233,Genotype10932
Env1,2018DS,2,NA,2,69,2737.015504,Genotype10515
Env1,2018DS,2,NA,2,68,NA,Genotype10274
Env1,2018DS,2,NA,2,67,2523.75969,Genotype10371
Env1,2018DS,2,NA,2,66,3732.067183,Genotype10912
Env1,2018DS,2,NA,2,65,1375.968992,Genotype10955
Env1,2018DS,2,NA,2,64,1535.316537,Genotype10488
Env1,2018DS,2,NA,2,63,NA,Genotype10195
Env1,2018DS,2,NA,2,62,3022.222222,Genotype10419
Env1,2018DS,2,NA,2,61,774.1602067,Genotype10290
Env1,2018DS,2,NA,2,60,2304.573643,Genotype10254
Env1,2018DS,2,NA,2,59,NA,Genotype10416
Env1,2018DS,2,NA,2,58,1730.639535,Genotype10762
Env1,2018DS,2,NA,2,57,3882.286822,Genotype10725
Env1,2018DS,2,NA,2,56,1714.418605,Genotype10736
Env1,2018DS,2,NA,2,55,1810.416667,Genotype10904
Env1,2018DS,2,NA,2,54,2914.050388,Genotype10752
Env1,2018DS,2,NA,2,53,697.3514212,Genotype10439
Env1,2018DS,2,NA,2,52,NA,Genotype10805
Env1,2018DS,2,NA,2,51,1028.536822,Genotype10963
Env1,2018DS,2,NA,2,50,2593.045866,Genotype10462
Env1,2018DS,2,NA,2,49,2749.176357,Genotype10436
Env4,2018DS,1,NA,18,4,4959.96164,Check1
Env1,2018DS,2,NA,2,47,2366.511628,Genotype10683
Env1,2018DS,2,NA,2,46,NA,Genotype10592
Env1,2018DS,2,NA,2,45,NA,Genotype10706
Env1,2018DS,2,NA,2,44,3255.03876,Genotype10289
Env1,2018DS,2,NA,3,44,1998.456072,Genotype10430
Env1,2018DS,2,NA,3,45,1625,Genotype10876
Env1,2018DS,2,NA,3,46,1222.47739,Genotype10415
Env1,2018DS,2,NA,3,47,2382.790698,Genotype10467
Env1,2018DS,2,NA,3,48,3236.25969,Genotype10796
Env1,2018DS,2,NA,3,49,1762.348191,Genotype10445
Env1,2018DS,2,NA,3,50,NA,Genotype10826
Env1,2018DS,2,NA,3,51,2436.343669,Genotype10473
Env4,2018DS,2,NA,80,2,2759.593023,Check1
Env1,2018DS,2,NA,3,53,NA,Genotype10674
Env1,2018DS,2,NA,3,54,2784.186047,Genotype10471
Env1,2018DS,2,NA,3,55,NA,Genotype10400
Env1,2018DS,2,NA,3,56,1703.72093,Genotype10352
Env1,2018DS,2,NA,3,57,1744.166667,Genotype10695
Env1,2018DS,2,NA,3,58,NA,Genotype10911
Env1,2018DS,2,NA,3,59,2044.806202,Genotype10187
Env1,2018DS,2,NA,3,60,1029.134367,Genotype10173
Env1,2018DS,2,NA,3,61,874.5930233,Genotype10719
Env1,2018DS,2,NA,3,62,NA,Genotype10767
Env1,2018DS,2,NA,3,63,NA,Genotype10996
Env1,2018DS,2,NA,3,64,2353.81137,Genotype10811
Env1,2018DS,2,NA,3,65,2273.901809,Genotype10757
Env1,2018DS,2,NA,3,66,2356.162791,Genotype10475
Env1,2018DS,2,NA,3,67,2848.475452,Genotype10685
Env1,2018DS,2,NA,3,68,NA,Genotype10742
Env1,2018DS,2,NA,3,69,1436.905685,Genotype10629
Env1,2018DS,2,NA,3,70,2618.992248,Genotype10816
Env1,2018DS,2,NA,3,71,NA,Genotype10266
Env1,2018DS,2,NA,3,72,NA,Genotype10697
Env1,2018DS,2,NA,3,73,2771.918605,Genotype10251
Env1,2018DS,2,NA,3,74,1611.937984,Genotype10228
Env1,2018DS,2,NA,3,75,NA,Genotype10794
Env1,2018DS,2,NA,3,76,2526.899225,Genotype10937
Env1,2018DS,2,NA,3,77,1267.52584,Genotype10823
Env1,2018DS,2,NA,3,78,1521.30814,Genotype10782
Env1,2018DS,2,NA,3,79,2257.122093,Genotype10705
Env1,2018DS,2,NA,3,80,1383.333333,Genotype10611
Env1,2018DS,2,NA,3,81,1486.020672,Genotype10936
Env1,2018DS,2,NA,3,82,2851.007752,Genotype10639
Env1,2018DS,2,NA,3,83,3142.53876,Genotype10720
Env1,2018DS,2,NA,3,84,2554.231266,Genotype10232
Env1,2018DS,2,NA,3,85,1787.625969,Genotype10463
Env1,2018DS,2,NA,3,86,NA,Genotype10895
Env1,2018DS,2,NA,4,86,1270.581395,Genotype10390
Env1,2018DS,2,NA,4,85,2478.552972,Genotype10347
Env1,2018DS,2,NA,4,84,2325.581395,Genotype10596
Env1,2018DS,2,NA,4,83,2194.379845,Genotype10766
Env1,2018DS,2,NA,4,82,1077.290052,Genotype10659
Env1,2018DS,2,NA,4,81,1777.49354,Genotype10359
Env1,2018DS,2,NA,4,80,1771.627907,Genotype10980
Env1,2018DS,2,NA,4,79,1493.242894,Genotype10923
Env1,2018DS,2,NA,4,78,2258.100775,Genotype10943
Env1,2018DS,2,NA,4,77,1500.077519,Genotype10162
Env1,2018DS,2,NA,4,76,2087.015504,Genotype10455
Env1,2018DS,2,NA,4,75,1673.598191,Genotype10793
Env1,2018DS,2,NA,4,74,1373.875969,Genotype10240
Env1,2018DS,2,NA,4,73,3258.294574,Genotype10346
Env1,2018DS,2,NA,4,72,1434.450904,Genotype10500
Env1,2018DS,2,NA,4,71,1250,Genotype10634
Env1,2018DS,2,NA,4,70,2035.526486,Genotype10472
Env1,2018DS,2,NA,4,69,1711.369509,Genotype10444
Env1,2018DS,2,NA,4,68,1435.723514,Genotype10947
Env1,2018DS,2,NA,4,67,4090.968992,Genotype10292
Env1,2018DS,2,NA,4,66,2125.820413,Genotype10930
Env1,2018DS,2,NA,4,65,2657.054264,Genotype10354
Env1,2018DS,2,NA,4,64,2400.859173,Genotype10775
Env5,2018DS,1,NA,34,6,4948.969919,Check2
Env1,2018DS,2,NA,4,62,1282.028424,Genotype10960
Env1,2018DS,2,NA,4,61,2157.48385,Genotype10370
Env1,2018DS,2,NA,4,60,1494.186047,Genotype10605
Env1,2018DS,2,NA,4,59,2427.209302,Genotype10721
Env1,2018DS,2,NA,4,58,3253.653101,Genotype10493
Env1,2018DS,2,NA,4,57,1654.593023,Genotype10615
Env1,2018DS,2,NA,4,56,3162.144703,Genotype10401
Env1,2018DS,2,NA,4,55,1971.550388,Genotype10626
Env1,2018DS,2,NA,4,54,2186.989664,Genotype10386
Env1,2018DS,2,NA,4,53,2923.333333,Genotype10870
Env1,2018DS,2,NA,4,52,1744.935401,Genotype10222
Env1,2018DS,2,NA,4,51,2341.007752,Genotype10825
Env1,2018DS,2,NA,4,50,1584.815891,Genotype10560
Env1,2018DS,2,NA,4,49,3428.824289,Genotype11003
Env1,2018DS,2,NA,4,48,1196.343669,Genotype10286
Env1,2018DS,2,NA,4,47,1941.860465,Genotype10295
Env1,2018DS,2,NA,4,46,1466.666667,Genotype10568
Env1,2018DS,2,NA,4,45,1271.908915,Genotype10595
Env1,2018DS,2,NA,4,44,1826.479328,Genotype10516
Env1,2018DS,2,NA,5,44,1616.686047,Genotype10198
Env1,2018DS,2,NA,5,45,2529.250646,Genotype10262
Env1,2018DS,2,NA,5,46,2202.5323,Genotype10485
Env1,2018DS,2,NA,5,47,1171.808786,Genotype10321
Env5,2018DS,2,NA,86,1,4309.043225,Check2
Env1,2018DS,2,NA,5,49,2911.111111,Genotype10362
Env1,2018DS,2,NA,5,50,3331.26615,Genotype10306
Env1,2018DS,2,NA,5,51,1509.664083,Genotype10288
Env1,2018DS,2,NA,5,52,3434.211886,Genotype10372
Env1,2018DS,2,NA,5,53,1610.555556,Genotype10273
Env1,2018DS,2,NA,5,54,1503.036176,Genotype10503
Env1,2018DS,2,NA,5,55,3397.868217,Genotype10886
Env1,2018DS,2,NA,5,56,3052.422481,Genotype10578
Env1,2018DS,2,NA,5,57,3464.341085,Genotype10966
Env1,2018DS,2,NA,5,58,2056.466408,Genotype10707
Env1,2018DS,2,NA,5,59,2585.865633,Genotype10853
Env1,2018DS,2,NA,5,60,3458.081395,Genotype10902
Env1,2018DS,2,NA,5,61,3472.609819,Genotype10309
Env1,2018DS,2,NA,5,62,3428.824289,Genotype10175
Env1,2018DS,2,NA,5,63,3249.922481,Genotype10441
Env1,2018DS,2,NA,5,64,2376.963824,Genotype10200
Env1,2018DS,2,NA,5,65,2212.306202,Genotype10328
Env1,2018DS,2,NA,5,66,3259.069767,Genotype10829
Env1,2018DS,2,NA,5,67,3969.922481,Genotype10279
Env1,2018DS,2,NA,5,68,4126.375969,Genotype10297
Env1,2018DS,2,NA,5,69,3745.478036,Genotype10483
